CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,"9,971","8,002","6,82,982",11.89,203.00,-200.10,75,201.05,202.95,75,"23,950.00",75,138.00,139.35,75,49.30,138.00,17.23,"12,81,981","13,052","19,626",
,"48,319","30,713","21,57,396",11.92,172.80,-194.35,375,171.85,172.85,225,"24,000.00","2,325",159.00,159.80,525,59.20,159.85,17.29,"32,99,988","18,774","76,343",
,"15,016","13,848","10,01,275",11.91,145.05,-186.05,975,145.15,146.45,225,"24,050.00",150,181.15,182.50,450,67.50,181.30,17.13,"10,66,082","13,677","18,726",
,"52,633","24,825","18,75,546",11.75,122.25,-171.90,975,120.75,122.70,75,"24,100.00",75,205.85,208.10,450,77.00,205.50,17.70,"16,88,647",-97,"36,130",
,"19,740","16,262","10,33,263",12.21,101.95,-162.00,225,100.60,102.00,"3,150","24,150.00",150,235.25,238.85,75,93.70,239.70,17.66,"6,88,505","2,357","8,660",
,"66,389","34,145","21,67,662",12.25,83.35,-149.20,"1,125",82.70,83.40,75,"24,200.00",75,268.05,270.70,75,106.25,271.00,17.84,"12,63,234","-11,995","29,756",
,"31,702","13,648","11,15,393",12.39,68.40,-134.60,975,67.95,68.65,150,"24,250.00",150,301.10,306.30,75,120.85,306.65,18.27,"5,30,881","-1,249","12,190",
,"91,473","49,039","26,01,407",12.53,55.80,-120.90,675,55.75,56.50,375,"24,300.00",150,340.35,343.55,150,132.50,341.00,18.43,"10,68,643","-9,415","25,195",
,"42,553","31,055","12,80,524",12.87,46.80,-106.45,150,46.15,46.80,375,"24,350.00",150,381.00,385.85,225,151.40,386.60,19.56,"3,67,989","3,064","8,058",
,"80,546","53,185","19,36,771",13.10,38.50,-92.55,825,37.55,38.35,"1,725","24,400.00",300,421.20,423.90,"1,125",161.30,424.00,19.76,"3,22,458","-2,433","6,769",
,"32,031","25,100","8,93,619",13.31,31.30,-80.00,825,31.30,31.80,75,"24,450.00",75,462.80,471.95,75,174.30,467.55,20.49,"48,873",223,"1,433",
,"1,17,334","66,515","23,32,685",13.67,26.60,-67.45,"1,275",26.60,27.00,675,"24,500.00",300,510.00,515.00,900,191.15,516.75,21.77,"1,62,448","-2,596","7,859",
,"25,248","17,461","8,13,253",13.95,22.05,-56.55,"2,250",22.05,22.90,"1,875","24,550.00",75,553.90,563.65,75,203.20,563.00,22.68,"17,008",-134,627,
,"65,727","24,890","13,85,573",14.37,19.05,-46.10,450,19.05,19.35,75,"24,600.00",450,600.40,608.50,300,207.70,604.85,23.00,"24,490",-293,"1,478",
,"35,718","28,666","6,85,918",14.68,16.00,-38.50,675,16.00,16.55,150,"24,650.00",300,647.80,657.25,150,227.35,659.55,24.84,"2,676",-86,297,
,"62,125","31,145","10,82,999",15.04,13.70,-30.90,"1,125",13.55,13.70,750,"24,700.00",225,693.85,703.55,300,224.65,703.10,25.26,"7,787",-274,"2,520",
,"17,304","10,066","5,12,436",15.42,11.80,-25.45,150,11.40,11.95,675,"24,750.00",150,741.95,752.00,300,234.75,754.55,27.73,923,-27,244,
,"65,065","27,050","11,14,149",15.56,9.50,-20.85,975,9.50,9.80,"1,500","24,800.00",75,790.80,800.15,150,248.60,806.00,28.04,"7,363",-377,"1,099",
,"20,583","15,214","4,17,578",16.02,8.45,-17.35,"1,725",8.10,8.45,"6,600","24,850.00",300,838.50,850.00,300,207.00,813.30,22.70,180,-21,101,
,"51,325","30,003","7,35,012",16.28,7.10,-14.45,525,7.10,7.35,"5,025","24,900.00",75,887.95,897.65,150,242.50,897.60,29.20,"1,005",2,176,
,"15,533","9,125","3,13,188",16.61,6.10,-11.90,375,6.05,6.20,675,"24,950.00",300,936.25,946.50,300,310.10,933.75,28.23,51,6,18,
,"1,39,370","61,349","12,02,507",16.90,5.20,-10.25,"3,300",5.05,5.25,525,"25,000.00",150,985.55,996.60,75,244.10,991.30,30.48,"9,245","-1,262","3,368",
,"12,995","7,292","2,50,534",17.23,4.50,-8.35,225,4.45,4.85,75,"25,050.00",75,996.65,"1,076.75",75,325.00,"1,055.60",33.71,4,1,8,
,"52,641","31,911","5,10,859",17.49,3.80,-7.15,300,3.80,3.90,225,"25,100.00",150,"1,078.25","1,146.70",375,241.85,"1,086.00",31.78,62,-10,164,
,"11,951","5,238","2,38,581",17.69,3.25,-6.05,225,3.35,3.60,75,"25,150.00","1,725",853.50,"1,231.45",150,-,802.85,-,-,-,9,
,"56,380","20,097","5,95,449",18.02,2.75,-5.00,900,2.70,2.75,"1,725","25,200.00",150,"1,178.20","1,219.45",75,237.00,"1,170.00",30.96,25,3,125,
,"9,526","5,310","1,94,003",18.44,2.50,-4.30,"14,925",2.50,2.80,"1,500","25,250.00",150,"1,193.65","1,275.95",150,183.20,"1,175.00",-,9,-4,8,
,"38,647","16,726","4,97,467",18.88,2.30,-3.35,225,2.25,2.40,"3,600","25,300.00",150,"1,282.30","1,302.25",75,264.25,"1,253.00",29.12,98,21,60,
,"8,168","3,917","1,60,803",19.35,2.15,-2.95,225,2.10,2.35,750,"25,350.00",150,"1,280.95","1,393.80",150,-,"1,007.95",-,-,-,11,
,"40,090","16,034","3,92,862",19.81,2.00,-2.25,75,1.95,2.00,225,"25,400.00",150,"1,373.85","1,442.85",150,276.45,"1,401.55",40.57,4,-1,75,
,"8,156","4,913","1,55,732",20.17,1.80,-2.15,75,1.80,1.85,75,"25,450.00",150,"1,359.25","1,489.00",150,-0.15,"1,093.50",-,-,-,10,
,"97,952","15,085","7,92,555",20.79,1.80,-1.80,150,1.80,1.90,75,"25,500.00",225,"1,473.95","1,524.20",75,271.20,"1,500.00",42.35,321,198,982,
,"5,914","2,540","1,12,780",21.25,1.70,-1.45,75,1.65,1.70,75,"25,550.00","1,725","1,237.10","1,590.55",150,-1.05,"1,188.40",-,-,-,10,
,"24,349","5,367","2,59,811",21.62,1.55,-1.15,75,1.55,1.60,"54,450","25,600.00",150,"1,558.30","1,630.80",150,28.85,"1,378.85",-,1,-1,10,
,"6,395","2,437","1,13,202",22.13,1.50,-0.95,75,1.45,1.55,75,"25,650.00","1,725","1,387.20","1,753.80",150,-0.90,"1,290.85",-,-,-,2,
,"30,761",-166,"3,17,640",22.64,1.45,-0.80,75,1.50,1.60,900,"25,700.00","1,725","1,436.70","1,780.20",150,-,"1,410.00",-,-,-,1,
,"11,146","6,455","1,05,243",23.23,1.45,-0.50,"8,625",1.40,1.50,"2,475","25,750.00",150,"1,482.65","1,845.90","1,725",0.50,"1,397.95",-,-,-,8,
,"53,536","6,590","3,85,004",23.62,1.35,-0.40,"59,625",1.30,1.40,"13,575","25,800.00",150,"1,736.55","1,847.60",150,-,-,-,-,-,-,
,"10,699","3,317","1,04,603",24.21,1.35,-0.35,"1,800",1.30,1.40,"3,900","25,850.00","1,725","1,500.20","1,897.75",150,-0.05,"1,495.25",-,-,-,8,
,"56,116","9,875","2,40,834",24.78,1.30,-0.45,75,1.30,1.35,"18,525","25,900.00",150,"1,821.35","1,944.00",150,-,"1,620.00",-,-,-,23,
,"6,094","4,807","94,840",25.25,1.30,-0.35,"2,625",1.25,1.30,"1,200","25,950.00","1,725","1,678.05","2,088.45","1,725",-,-,-,-,-,-,
,"80,548","49,160","5,95,176",25.71,1.25,-0.35,"38,550",1.20,1.25,"24,825","26,000.00",150,"1,979.00","2,012.10",150,260.00,"1,976.85",47.33,16,1,82,
,"15,817","11,391","1,92,802",26.16,1.20,-0.35,"19,950",1.20,1.25,75,"26,050.00",150,"1,978.35","2,092.80",150,-,-,-,-,-,-,
,"1,13,264","58,697","10,29,133",26.60,1.15,-0.45,"4,57,275",1.10,1.15,"2,19,450","26,100.00",150,"2,021.80","2,140.15",150,-,"1,820.00",-,-,-,1,
